Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C","C_0603_1608Metric",85.090000,-87.630000,90.000000,top
"C2","C","C_0603_1608Metric",77.470000,-87.630000,180.000000,top
"C3","C","C_0603_1608Metric",79.955557,-87.057003,90.000000,top
"C4","C","C_0603_1608Metric",82.550000,-88.900000,0.000000,top
"D1","SP0503BAHT","SOT-143",83.820000,-91.440000,180.000000,top
"D2","LED","LED_0805_2012Metric",66.040000,-87.250000,-90.000000,top
"D3","LED","LED_0805_2012Metric",63.485603,-87.286007,-90.000000,top
"D4","LED","LED_0805_2012Metric",68.580000,-87.260268,-90.000000,top
"D5","LED","LED_0805_2012Metric",71.120000,-87.250000,-90.000000,top
"J1","USB_B_Mini","USB_Micro-B_Amphenol_10118194_Horizontal",95.250000,-90.081298,90.000000,top
"J4","Conn_01x12_Male","PinHeader_1x12_P2.54mm_Horizontal",63.495000,-51.365000,90.000000,top
"R1","R_US","R_0603_1608Metric",74.930000,-90.170000,90.000000,top
"R2","R_US","R_0603_1608Metric",66.040000,-91.885000,90.000000,top
"R3","R_US","R_0603_1608Metric",63.485603,-91.821873,90.000000,top
"R4","R_US","R_0603_1608Metric",68.580000,-91.885000,90.000000,top
"R5","R_US","R_0603_1608Metric",71.120000,-91.885000,90.000000,top
"SW1","SW_DIP_x02","SW_DIP_SPSTx02_Slide_6.7x6.64mm_W7.62mm_P2.54mm_LowProfile",86.380000,-64.770000,90.000000,top
"SW2","SW_Push","SW_PUSH_6mm",74.050000,-55.880000,0.000000,top
"SW3","SW_Push","SW_PUSH_6mm",63.500000,-55.880000,0.000000,top
"SW4","SW_Push","SW_PUSH_6mm",63.500000,-64.430000,0.000000,top
"SW5","SW_DIP_x04","SW_DIP_SPSTx04_Slide_6.7x11.72mm_W7.62mm_P2.54mm_LowProfile",72.390000,-72.400000,-90.000000,top
"SW6","SW_Push","SW_PUSH_6mm",74.050000,-64.430000,0.000000,top
"SW7","SW_DIP_x04","SW_DIP_SPSTx04_Slide_6.7x11.72mm_W7.62mm_P2.54mm_LowProfile",82.560000,-80.010000,90.000000,top
"U1","CP2102N-Axx-xQFN20","SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_EP1.8x1.8mm",78.740000,-91.440000,180.000000,top
